date,firm,n,sd,source,FIPDLFI,IdV,LN,UdC,LADESTRA,PD,M5S,FdI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI
2006-10-02,EKMA,NA,NA,NA,28,3.5,6,4,,,,,,,,,,,,
2006-10-13,EUROMEDIA,NA,NA,NA,29,2.3,4.7,5.2,,,,,,,,,,,,
2006-11-14,EKMA,NA,NA,NA,28,3.5,6,6,,,,,,,,,,,,
2006-11-20,UNICAB,NA,NA,NA,28.1,1.7,5,7.6,,,,,,,,,,,,
2006-12-05,EKMA,NA,NA,NA,30,3,5,6,,,,,,,,,,,,
2006-12-20,EUROMEDIA,NA,NA,NA,31.5,2.4,4.8,3.9,,,,,,,,,,,,
2007-01-08,EUROMEDIA,NA,NA,NA,32.6,2.3,5.3,4.1,,,,,,,,,,,,
2007-01-09,EKMA,NA,NA,NA,30,3.5,5,5.5,,,,,,,,,,,,
2007-02-02,EKMA,NA,NA,NA,28,4,5,6,,,,,,,,,,,,
2007-02-21,UNICAB,NA,NA,NA,29.3,2.8,4.3,7.2,,,,,,,,,,,,
2007-03-02,EUROMEDIA,NA,NA,NA,33,2.4,5.1,4.8,,,,,,,,,,,,
2007-03-02,EKMA,NA,NA,NA,28.5,4,5,7,,,,,,,,,,,,
2007-03-29,IPR,NA,NA,NA,27,3,4.5,5.5,,,,,,,,,,,,
2007-04-02,EKMA,NA,NA,NA,29.5,4.7,5,7.5,,,,,,,,,,,,
2007-04-03,LORIEN,NA,NA,NA,28,2,5,6.4,,,,,,,,,,,,
2007-04-09,SWG,1500,NA,NA,26,4,5.5,5.5,,,,,,,,,,,,
2007-06-09,EUROMEDIA,NA,NA,NA,32,2.4,5.5,5.4,,,,,,,,,,,,
2007-06-13,EKMA,NA,NA,NA,30,4.3,5.9,5.5,,,,,,,,,,,,
2007-06-27,EURISKO,NA,NA,NA,26.3,2.7,5.7,6.6,,,,,,,,,,,,
2007-07-05,EKMA,NA,NA,NA,30,3.9,6,5,,,,,,,,,,,,
2007-09-10,EKMA,NA,NA,NA,30,4.2,5.7,3.5,,,,,,,,,,,,
2007-09-13,EURISKO,NA,NA,NA,27,3.1,5,6.8,,,,,,,,,,,,
2007-10-12,EKMA,NA,NA,NA,29,3.5,5,3.5,,,,,,,,,,,,
2007-10-18,EURISKO,NA,NA,NA,26.8,3.2,4.5,6.4,,,,,,,,,,,,
2007-10-21,SWG,NA,NA,NA,26.5,4,7,4.5,,,,,,,,,,,,
2007-11-12,EKMA,NA,NA,NA,28.5,3,5,4.2,,,,,,,,,,,,
2007-11-20,ISPO,NA,NA,NA,30,2.5,4.5,4.5,,,,,,,,,,,,
2008-02-11,IPR,NA,NA,NA,38.25,3.75,6,8,2.5,29.5,,,,,,,,,,
2008-02-12,ISPO,NA,NA,NA,40,4.5,5,6,,33,,,,,,,,,,
2008-02-12,IPSOS,NA,NA,NA,40.2,3.8,5.9,6.6,1.6,34.8,,,,,,,,,,
2008-02-13,SWG,1500,NA,NA,36.5,4.5,6.5,6,2.5,30.5,,,,,,,,,,
2008-02-18,SWG,1500,NA,NA,37,4.25,5.5,7.5,1.75,32,,,,,,,,,,
2008-02-18,IPSOS,NA,NA,NA,40,3.8,5.6,5.8,1.2,34,,,,,,,,,,
